,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
55,231647,폭력행위등처벌에관한법률위반(단체등의구성·활동)·폭력행위등처벌에관한법률위반(단체등의공동공갈)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·아동·청소년의성보호에관한법률위반(성착취물제작·배포등)·폭력행위등처벌에관한법률위반(단체등의공동강요)·폭력행위등처벌에관한법률위반(공동강요),2021고합43,2021.11.24,대전지방법원서산지원,형사,400102,판결,선고
56,220353,강간치상·마약류관리에관한법률위반(향정)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·강제추행·특정경제범죄가중처벌등에관한법률위반(사기)·사기·공문서위조·위조공문서행사·부착명령,2021노83,2021.11.24,부산고등법원,형사,400102,판결,선고
57,219709,준강제추행·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)[경찰이 「성폭력범죄의 처벌 등에 관한 특례법」위반(카메라등이용촬영)죄의 피해자가 임의제출한 피고인 소유·관리의 휴대전화 2대의 전자정보를 탐색하다가 피해자를 촬영한 휴대전화가 아닌 다른 휴대전화에서 다른 피해자 2명에 대한 동종 범행 등에 관한 1년 전 사진·동영상을 발견하고 영장 없이 이를 복제한 CD를 증거로 제출한 사안],2016도348,2021.11.18,대법원,형사,400102,전원합의체 판결,선고
58,228529,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강제추행),2021도11454,2021.11.11,대법원,형사,400102,판결,선고
59,219875,주거침입·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·상해,2021노802,2021.11.05,울산지방법원,형사,400102,판결 : 상고,선고
60,218461,"강간[인정된 죄명:성폭력범죄의처벌등에관한특례법위반(장애인강간),예비적 죄명:심신미약자간음]ㆍ사기",2021도9051,2021.10.28,대법원,형사,400102,판결,선고
61,233531,폭력행위등처벌에관한법률위반(공동상해)·업무방해·폭행(공소기각)·특수상해·특수협박·강요·상해·도로교통법위반(음주측정거부)·약사법위반·폭력행위등처벌에관한법률위반(공동재물손괴등)·도로교통법위반(무면허운전),2020고단583,2021.10.26,창원지방법원밀양지원,형사,400102,판결,선고
62,221011,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등간음)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등추행)·부착명령,2021노36,2021.10.13,부산고등법원울산재판부,형사,400102,판결,선고
63,217781,특수공무집행방해치상ㆍ업무방해ㆍ폭력행위등처벌에관한법률위반(공동재물손괴등)ㆍ건조물침입,2015도12632,2021.09.16,대법원,형사,400102,판결,선고
64,217431,"폭력행위등처벌에관한법률위반(공동재물손괴등)ㆍ폭력행위등처벌에관한법률위반(공동주거침입)ㆍ폭력행위등처벌에관한법률위반(공동상해)[가정불화로 처와 일시 별거 중인 남편이 그의 부모와 함께 주거지에 들어가려고 하는데 처로부터 집을 돌보아 달라는 부탁을 받은 처제가 출입을 못하게 하자, 출입문에 설치된 잠금장치를 손괴하고 주거지에 출입하여 폭력행위 등 처벌에 관한 법률위반(공동주거침입)죄 등으로 기소된 사안]",2020도6085,2021.09.09,대법원,형사,400102,전원합의체 판결,선고
65,217419,성폭력범죄자의성충동약물치료에관한법률위반[피고인이 헌법불합치결정에 따른 개선입법에서 규정하고 있는 집행면제 신청을 할 수 없어 집행의 필요성에 대한 법원의 판단을 받지 못한 채 이루어진 성충동 약물치료 명령의 집행에 따른 준수사항을 위반한 사건],2020도16111,2021.08.19,대법원,형사,400102,판결,선고
66,217333,성폭력범죄의처벌등에관한특례법위반(주거침입유사강간)ㆍ폭행ㆍ강제추행미수,2020도17796,2021.08.12,대법원,형사,400102,판결,선고
67,220041,강간[인정된죄명성폭력범죄의처벌등에관한특례법위반(장애인강간)·예비적죄명심신미약자간음)·사기,2021노244,2021.07.08,서울고등법원,형사,400102,판결,선고
68,231653,업무방해·폭력행위등처벌에관한법률위반(공동주거침입),2020노2600,2021.07.06,서울남부지방법원,형사,400102,판결,선고
69,218345,폭력행위등처벌에관한법률위반(공동폭행)ㆍ상해ㆍ모욕,2020도15812,2021.05.07,대법원,형사,400102,판결,선고
70,216983,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)미수,2021도749,2021.03.25,대법원,형사,400102,판결,선고
71,214575,폭력행위등처벌에관한법률위반(인정된 죄명: 특수감금)[형제복지원 비상상고 사건],2019오1,2021.03.11,대법원,형사,400102,판결,선고
72,214591,폭력행위등처벌에관한법률위반(변경된 죄명: 특수감금)[형제복지원 비상상고 사건],2018오2,2021.03.11,대법원,형사,400102,판결,선고
73,217013,성폭력범죄의처벌등에관한특례법위반(장애인강제추행)(인정된 죄명: 강제추행),2017도16186,2021.02.25,대법원,형사,400102,판결,선고
74,214223,성폭력범죄의처벌등에관한특례법위반(장애인강간)(인정된 죄명: 강간ㆍ강간미수)ㆍ성폭력범죄의처벌등에관한특례법위반(장애인위계등간음)ㆍ성폭력범죄의처벌등에관한특례법위반(장애인강제추행)(인정된 죄명: 강제추행)ㆍ부착명령,2016도4404,2021.02.25,대법원,형사,400102,판결,선고
75,220387,강간치상·마약류관리에관한법률위반(향정)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·강제추행·특정경범죄가중처벌등에관한법률위반(사기)·사기·공문서위조·위조공문서행사·부착명령·배상명령신청,2020고합77,2021.01.22,울산지방법원,형사,400102,판결,선고
76,223475,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2020고단2650,2020.12.17,의정부지방법원고양지원,형사,400102,판결,선고
77,213305,학교폭력가해학생처분취소,2019구합6370,2020.12.15,제주지방법원,일반행정,400107,판결 : 확정,선고
78,226629,성폭력범죄의처벌등에관한특례법위반(업무상위력등에의한추행),2020도11186,2020.12.10,대법원,형사,400102,판결,선고
79,212583,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)[국선변호인에 대한 참여통지 누락이 압수·수색 절차의 위반 사유로 문제된 사건],2020도10729,2020.11.26,대법원,형사,400102,판결,선고
80,214877,업무방해ㆍ폭력행위등처벌에관한법률위반(공동퇴거불응),2016도8627,2020.11.12,대법원,형사,400102,판결,선고
81,231659,업무방해·폭력행위등처벌에관한법률위반(공동주거침입),2020고정1601,2020.11.11,서울남부지방법원,형사,400102,판결,선고
82,214353,성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강간),2020도10806,2020.11.05,대법원,형사,400102,판결,선고
83,217671,성폭력범죄자의성충동약물치료에관한법률위반,2020노2007,2020.11.04,대전지방법원,형사,400102,판결,선고
84,213143,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준유사성행위)·성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강제추행)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준강제추행)·아동복지법위반,2020도6422,2020.10.15,대법원,형사,400102,판결,선고
85,232691,성폭력범죄의처벌등에관한특례법위반(장애인준강간)·간음유인,2020노78,2020.09.23,부산고등법원창원재판부,형사,400102,판결,선고
86,214463,살인ㆍ특수협박ㆍ폭력행위등처벌에관한법률위반(공동폭행),2020노1062,2020.08.25,서울고등법원,형사,400102,판결 : 환송,선고
87,211815,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간)·유사강간·성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·성폭력범죄의처벌등에관한특례법위반(특수강간)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·부착명령[친딸 강간 등 사건],2020도6965,2020.08.20,대법원,형사,400102,판결,선고
88,226477,폭력행위등처벌에관한법률위반(공동주거침입),2017도2478,2020.07.29,대법원,형사,400102,판결,선고
89,213173,성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강간),2020노166,2020.07.16,수원고등법원,형사,400102,판결,선고
90,213435,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2020노481,2020.07.16,의정부지방법원,형사,400102,판결,선고
91,211727,성폭력범죄의처벌등에관한특례법위반(업무상위력등에의한추행),2020도5646,2020.07.09,대법원,형사,400102,판결,선고
92,211763,성폭력범죄의처벌등에관한특례법위반(특수강제추행)(인정된죄명:강제추행),2019도17995,2020.06.25,대법원,형사,400102,판결,선고
93,211755,성폭력범죄의처벌등에관한특례법위반(공중밀집장소에서의추행)(예비적죄명:강제추행미수),2015도7102,2020.06.25,대법원,형사,400102,판결,선고
94,226387,폭력행위등처벌에관한법률위반(공동상해)·집회및시위에관한법률위반,2016도3048,2020.06.11,대법원,형사,400102,판결,선고
95,213019,성폭력범죄의처벌등에관한특례법위반(업무상위력등에의한추행),2019도9872,2020.05.14,대법원,형사,400102,판결,선고
96,211601,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강제추행)·아동·청소년의성보호에관한법률위반(유사성행위)·아동복지법위반(아동학대)[친딸 강제추행 등 사안],2020도2433,2020.05.14,대법원,형사,400102,판결,선고
97,214657,"성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준유사성행위), 성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강제추행), 성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준강제추행), 아동복지법위반(주1)ㆍ부착명령",2019노664,2020.05.13,부산고등법원,형사,400102,판결,선고
98,226301,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준유사성행위)·준유사강간·성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간)·유사강간·성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·성폭력범죄의처벌등에관한특례법위반(특수강간)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·부착명령,2019노463,2020.05.13,대전고등법원,형사,400102,판결,선고
99,211417,손해배상(기)[성폭력범죄의 소년 피의자들이 경찰의 피의자신문조서 작성시 직무상 의무 위반을 이유로 국가배상책임을 구하는 사건],2015다224797,2020.04.29,대법원,민사,400101,판결,선고
100,218135,폭력행위등처벌에관한법률위반(공동재물손괴등)ㆍ폭력행위등처벌에관한법률위반(공동주거침입)ㆍ폭력행위등처벌에관한법률위반(공동상해),2019노1473,2020.04.24,서울동부지방법원,형사,400102,판결,선고
101,226263,성폭력범죄의처벌등에관한특례법위반(업무상위력등에의한추행),2019노2562,2020.04.21,창원지방법원,형사,400102,판결,선고
102,235163,가정폭력범죄의처벌등에관한특례법위반,2019노1523,2020.04.10,서울북부지방법원,형사,400102,판결,선고
103,229051,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2019도17142,2020.04.09,대법원,형사,400102,판결,선고
104,211315,폭력행위등처벌에관한법률위반(집단·흉기등재물손괴등)(인정된죄명:특수손괴)·모욕,2017도20455,2020.03.27,대법원,형사,400102,판결,선고
105,226197,폭력행위등처벌에관한법률위반(공동주거침입),2019도16484,2020.03.12,대법원,형사,400102,판결,선고
106,226167,폭력행위등처벌에관한법률위반(공동상해)·상법위반·전자금융거래법위반·공전자기록등불실기재·불실기재공전자기록등행사·교통사고처리특례법위반(치상)·도로교통법위반(무면허운전)·범인도피교사,2019도13217,2020.03.02,대법원,형사,400102,판결,선고
107,236107,성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·모욕·협박,2019노1640,2020.02.13,서울서부지방법원,형사,400102,판결,선고
108,210781,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강간)·미성년자의제강간·간음유인(일부인정된죄명:간음유인미수)·성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·부착명령,2019도14341,2020.02.13,대법원,형사,400102,판결,선고
109,226091,출판물에의한명예훼손·폭력행위등처벌에관한법률위반(공동주거침입)·업무방해,2017도16939,2020.02.13,대법원,형사,400102,판결,선고
110,235165,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2019노2215,2020.02.06,의정부지방법원,형사,400102,판결,선고
111,226043,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강제추행)·아동·청소년의성보호에관한법률위반(유사성행위)·아동복지법위반(아동학대)·부착명령·보호관찰명령,2019노630,2020.01.30,서울고등법원,형사,400102,판결,선고
112,225979,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·성매매알선등행위의처벌에관한법률위반(성매매알선등),2019노3411,2020.01.10,부산지방법원,형사,400102,판결,선고
113,230827,폭력행위등처벌에관한법률위반,2019노206,2020.01.08,부산고등법원창원재판부,형사,400102,판결,선고
114,225851,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·협박·성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·정보통신망이용촉진및정보보호등에관한법률위반,2019도10678,2019.12.13,대법원,형사,400102,판결,선고
115,213337,"성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준유사성행위), 성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강제추행), 성폭력범죄의처벌등에관한특례법위반(13세미만미성년자준강제추행), 아동복지법위반",2019고합141,2019.12.10,부산지방법원동부지원,형사,400102,판결,선고
116,225727,성폭력범죄의처벌등에관한특례법위반(특수강제추행)(인정된죄명:강제추행),2019노335,2019.11.21,대구고등법원,형사,400102,판결,선고
117,210557,"성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)(피고인이 휴대전화기의 카메라로 피해자를 몰래 촬영한 현장에서 현행범으로 체포되면서 위 휴대전화기를 수사기관에 임의제출한 사안에서, 피고인의 자백을 보강할 증거가 있는지 여부가 쟁점이 된 사건)",2019도13290,2019.11.14,대법원,형사,400102,판결,선고
118,236113,성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·모욕·협박,2019고단2435,2019.11.06,서울서부지방법원,형사,400102,판결,선고
119,225649,폭력행위등처벌에관한법률위반(공동주거침입),2019노966,2019.10.18,서울북부지방법원,형사,400102,판결,선고
120,225635,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간)·성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·아동·청소년의성보호에관한법률위반(강간)·아동·청소년의성보호에관한법률위반(유사성행위),2019도11609,2019.10.17,대법원,형사,400102,판결,선고
121,225633,성폭력범죄의처벌등에관한특례법위반(통신매체이용음란),2019도11540,2019.10.17,대법원,형사,400102,판결,선고
122,210891,성폭력범죄의처벌등에관한특례법위반(업무상위력등에의한추행),2019도4192,2019.10.17,대법원,형사,400102,판결,선고
123,225619,성폭력범죄의처벌등에관한특례법위반(비밀준수등),2018도2446,2019.10.17,대법원,형사,400102,판결,선고
124,218145,폭력행위등처벌에관한법률위반(공동재물손괴등)ㆍ폭력행위등처벌에관한법률위반(공동주거침입)ㆍ폭력행위등처벌에관한법률위반(공동상해),2018고정1318,2019.09.27,서울동부지방법원,형사,400102,판결,선고
125,228997,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강간)·미성년자의제강간·간음유인(일부인정된죄명:간음유인미수)·성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·부착명령,2019노320,2019.09.27,서울고등법원,형사,400102,판결,선고
126,225449,일반교통방해·폭력행위등처벌에관한법률위반(공동주거침입)·집회및시위에관한법률위반,2016도1869,2019.08.29,대법원,형사,400102,판결,선고
127,209330,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2018노2757,2019.08.22,의정부지방법원,형사,400102,판결 : 상고,선고
128,225413,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간)·성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·아동·청소년의성보호에관한법률위반(강간)·아동·청소년의성보호에관한법률위반(유사성행위),2019노31,2019.07.25,대전고등법원,형사,400102,판결,선고
